Arguments:
  JK: False
  cfg: configs/pubmed/baseline_gcn.yaml
  cluster_method: metis
  dataset: Pubmed
  device: 0
  dropout: 0.5
  epochs: 300
  experiment_name: None
  hidden_channels: 16
  log_steps: 1
  lr: 0.01
  mode: max
  model: gcn
  num_layers: 2
  num_parts: 128
  runs: 5
  sparse_ratio: 1.0
  use_bn: 0
  use_virtual: False
  wandb: False
  wd: 0.0005
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.x
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.tx
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.allx
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.y
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.ty
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.ally
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.graph
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.pubmed.test.index
Processing...
Done!
Model modules:
 VNGNN(
  (convs): ModuleList(
    (0): GCNConv(500, 16)
    (1): GCNConv(16, 3)
  )
  (bns): ModuleList(
    (0): BatchNorm1d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
)
Parameters:
+--------------------+------------+
|      Modules       | Parameters |
+--------------------+------------+
|    convs.0.bias    |     16     |
| convs.0.lin.weight |    8000    |
|    convs.1.bias    |     3      |
| convs.1.lin.weight |     48     |
|    bns.0.weight    |     16     |
|     bns.0.bias     |     16     |
+--------------------+------------+
Total Trainable Params: 8099

Start Training...
Run: 01, Epoch: 01, Train Loss: 1.0859, Valid Loss:  1.0897, Test Loss:  1.0910,  Train Acc: 70.00%, Valid Acc: 60.40%, Test Acc: 56.90%
Run: 01, Epoch: 02, Train Loss: 1.0710, Valid Loss:  1.0797, Test Loss:  1.0811,  Train Acc: 88.33%, Valid Acc: 73.00%, Test Acc: 66.50%
Run: 01, Epoch: 03, Train Loss: 1.0554, Valid Loss:  1.0697, Test Loss:  1.0714,  Train Acc: 90.00%, Valid Acc: 73.60%, Test Acc: 70.70%
Run: 01, Epoch: 04, Train Loss: 1.0392, Valid Loss:  1.0605, Test Loss:  1.0625,  Train Acc: 93.33%, Valid Acc: 73.60%, Test Acc: 71.10%
Run: 01, Epoch: 05, Train Loss: 1.0222, Valid Loss:  1.0512, Test Loss:  1.0537,  Train Acc: 93.33%, Valid Acc: 73.20%, Test Acc: 70.90%
Run: 01, Epoch: 06, Train Loss: 1.0043, Valid Loss:  1.0407, Test Loss:  1.0436,  Train Acc: 91.67%, Valid Acc: 74.00%, Test Acc: 71.60%
Run: 01, Epoch: 07, Train Loss: 0.9853, Valid Loss:  1.0292, Test Loss:  1.0325,  Train Acc: 93.33%, Valid Acc: 74.80%, Test Acc: 72.90%
Run: 01, Epoch: 08, Train Loss: 0.9658, Valid Loss:  1.0179, Test Loss:  1.0217,  Train Acc: 93.33%, Valid Acc: 74.80%, Test Acc: 72.30%
Run: 01, Epoch: 09, Train Loss: 0.9457, Valid Loss:  1.0058, Test Loss:  1.0100,  Train Acc: 93.33%, Valid Acc: 75.40%, Test Acc: 72.60%
Run: 01, Epoch: 10, Train Loss: 0.9249, Valid Loss:  0.9935, Test Loss:  0.9982,  Train Acc: 93.33%, Valid Acc: 75.20%, Test Acc: 73.00%
Run: 01, Epoch: 11, Train Loss: 0.9036, Valid Loss:  0.9808, Test Loss:  0.9861,  Train Acc: 93.33%, Valid Acc: 74.80%, Test Acc: 73.30%
Run: 01, Epoch: 12, Train Loss: 0.8818, Valid Loss:  0.9678, Test Loss:  0.9736,  Train Acc: 93.33%, Valid Acc: 74.60%, Test Acc: 73.20%
Run: 01, Epoch: 13, Train Loss: 0.8597, Valid Loss:  0.9543, Test Loss:  0.9605,  Train Acc: 93.33%, Valid Acc: 75.20%, Test Acc: 73.30%
Run: 01, Epoch: 14, Train Loss: 0.8372, Valid Loss:  0.9404, Test Loss:  0.9470,  Train Acc: 93.33%, Valid Acc: 75.00%, Test Acc: 73.70%
Run: 01, Epoch: 15, Train Loss: 0.8145, Valid Loss:  0.9266, Test Loss:  0.9336,  Train Acc: 95.00%, Valid Acc: 74.80%, Test Acc: 73.80%
Run: 01, Epoch: 16, Train Loss: 0.7914, Valid Loss:  0.9127, Test Loss:  0.9201,  Train Acc: 95.00%, Valid Acc: 75.20%, Test Acc: 74.00%
Run: 01, Epoch: 17, Train Loss: 0.7678, Valid Loss:  0.8989, Test Loss:  0.9067,  Train Acc: 95.00%, Valid Acc: 75.20%, Test Acc: 73.80%
Run: 01, Epoch: 18, Train Loss: 0.7445, Valid Loss:  0.8852, Test Loss:  0.8936,  Train Acc: 95.00%, Valid Acc: 74.80%, Test Acc: 73.70%
Run: 01, Epoch: 19, Train Loss: 0.7213, Valid Loss:  0.8721, Test Loss:  0.8809,  Train Acc: 95.00%, Valid Acc: 75.00%, Test Acc: 73.60%
Run: 01, Epoch: 20, Train Loss: 0.6984, Valid Loss:  0.8595, Test Loss:  0.8690,  Train Acc: 95.00%, Valid Acc: 75.20%, Test Acc: 73.50%
Run: 01, Epoch: 21, Train Loss: 0.6755, Valid Loss:  0.8466, Test Loss:  0.8568,  Train Acc: 93.33%, Valid Acc: 74.80%, Test Acc: 73.60%
Run: 01, Epoch: 22, Train Loss: 0.6526, Valid Loss:  0.8333, Test Loss:  0.8442,  Train Acc: 95.00%, Valid Acc: 74.80%, Test Acc: 73.80%
Run: 01, Epoch: 23, Train Loss: 0.6299, Valid Loss:  0.8197, Test Loss:  0.8310,  Train Acc: 96.67%, Valid Acc: 75.40%, Test Acc: 73.90%
Run: 01, Epoch: 24, Train Loss: 0.6074, Valid Loss:  0.8058, Test Loss:  0.8177,  Train Acc: 96.67%, Valid Acc: 75.40%, Test Acc: 73.90%
Run: 01, Epoch: 25, Train Loss: 0.5853, Valid Loss:  0.7921, Test Loss:  0.8044,  Train Acc: 96.67%, Valid Acc: 75.60%, Test Acc: 74.30%
Run: 01, Epoch: 26, Train Loss: 0.5636, Valid Loss:  0.7792, Test Loss:  0.7918,  Train Acc: 95.00%, Valid Acc: 75.80%, Test Acc: 74.20%
Run: 01, Epoch: 27, Train Loss: 0.5424, Valid Loss:  0.7663, Test Loss:  0.7794,  Train Acc: 95.00%, Valid Acc: 76.00%, Test Acc: 74.30%
Run: 01, Epoch: 28, Train Loss: 0.5218, Valid Loss:  0.7547, Test Loss:  0.7684,  Train Acc: 95.00%, Valid Acc: 76.00%, Test Acc: 74.50%
Run: 01, Epoch: 29, Train Loss: 0.5018, Valid Loss:  0.7443, Test Loss:  0.7588,  Train Acc: 96.67%, Valid Acc: 76.80%, Test Acc: 74.50%
Run: 01, Epoch: 30, Train Loss: 0.4826, Valid Loss:  0.7352, Test Loss:  0.7506,  Train Acc: 96.67%, Valid Acc: 76.80%, Test Acc: 74.50%
Run: 01, Epoch: 31, Train Loss: 0.4642, Valid Loss:  0.7260, Test Loss:  0.7424,  Train Acc: 96.67%, Valid Acc: 77.00%, Test Acc: 74.50%
Run: 01, Epoch: 32, Train Loss: 0.4467, Valid Loss:  0.7181, Test Loss:  0.7355,  Train Acc: 96.67%, Valid Acc: 77.20%, Test Acc: 74.70%
Run: 01, Epoch: 33, Train Loss: 0.4299, Valid Loss:  0.7108, Test Loss:  0.7291,  Train Acc: 95.00%, Valid Acc: 77.20%, Test Acc: 74.50%
Run: 01, Epoch: 34, Train Loss: 0.4138, Valid Loss:  0.7034, Test Loss:  0.7225,  Train Acc: 95.00%, Valid Acc: 77.40%, Test Acc: 74.70%
Run: 01, Epoch: 35, Train Loss: 0.3979, Valid Loss:  0.6947, Test Loss:  0.7141,  Train Acc: 96.67%, Valid Acc: 77.40%, Test Acc: 74.80%
Run: 01, Epoch: 36, Train Loss: 0.3824, Valid Loss:  0.6852, Test Loss:  0.7048,  Train Acc: 96.67%, Valid Acc: 77.20%, Test Acc: 74.90%
Run: 01, Epoch: 37, Train Loss: 0.3676, Valid Loss:  0.6750, Test Loss:  0.6945,  Train Acc: 96.67%, Valid Acc: 77.00%, Test Acc: 75.40%
Run: 01, Epoch: 38, Train Loss: 0.3537, Valid Loss:  0.6656, Test Loss:  0.6849,  Train Acc: 96.67%, Valid Acc: 76.60%, Test Acc: 75.80%
