Arguments:
  JK: False
  cfg: configs/pubmed/baseline_gcn_one_virtual.yaml
  cluster_method: metis
  dataset: Pubmed
  device: 0
  dropout: 0.5
  epochs: 300
  experiment_name: None
  hidden_channels: 16
  log_steps: 1
  lr: 0.01
  mode: max
  model: gcn
  num_layers: 2
  num_parts: 1
  runs: 5
  sparse_ratio: 1.0
  use_bn: 0
  use_virtual: True
  wandb: False
  wd: 0.0005
loading cluster edges from: cluster_data/Pubmed_cluster_adj_1.pt
cluster edges: 1, total cluster edges:0
Model modules:
 VNGNN(
  (convs): ModuleList(
    (0): GCNConv(500, 16)
    (1): GCNConv(16, 3)
  )
  (bns): ModuleList(
    (0): BatchNorm1d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (vns): VirtualNode(
    (vn_emb): Embedding(1, 500)
    (mlp_vns): ModuleList(
      (0): Sequential(
        (0): Linear(in_features=500, out_features=16, bias=True)
        (1): LayerNorm((16,), eps=1e-05, elementwise_affine=True)
        (2): ReLU()
      )
    )
    (convs): ModuleList(
      (0): GCNConv(500, 500)
      (1): GCNConv(16, 16)
    )
    (bns): ModuleList()
  )
)
Parameters:
+------------------------+------------+
|        Modules         | Parameters |
+------------------------+------------+
|      convs.0.bias      |     16     |
|   convs.0.lin.weight   |    8000    |
|      convs.1.bias      |     3      |
|   convs.1.lin.weight   |     48     |
|      bns.0.weight      |     16     |
|       bns.0.bias       |     16     |
|   vns.vn_emb.weight    |    500     |
| vns.mlp_vns.0.0.weight |    8000    |
|  vns.mlp_vns.0.0.bias  |     16     |
| vns.mlp_vns.0.1.weight |     16     |
|  vns.mlp_vns.0.1.bias  |     16     |
|    vns.convs.0.bias    |    500     |
| vns.convs.0.lin.weight |   250000   |
|    vns.convs.1.bias    |     16     |
| vns.convs.1.lin.weight |    256     |
+------------------------+------------+
Total Trainable Params: 267419

Start Training...
Run: 01, Epoch: 01, Train Loss: 1.6657, Valid Loss:  1.7949, Test Loss:  1.8527,  Train Acc: 33.33%, Valid Acc: 19.60%, Test Acc: 18.00%
Run: 01, Epoch: 02, Train Loss: 1.2045, Valid Loss:  1.2468, Test Loss:  1.2670,  Train Acc: 35.00%, Valid Acc: 20.20%, Test Acc: 19.30%
Run: 01, Epoch: 03, Train Loss: 1.0987, Valid Loss:  1.1463, Test Loss:  1.1549,  Train Acc: 33.33%, Valid Acc: 19.60%, Test Acc: 18.00%
Run: 01, Epoch: 04, Train Loss: 1.1176, Valid Loss:  1.2039, Test Loss:  1.2130,  Train Acc: 33.33%, Valid Acc: 19.60%, Test Acc: 18.00%
Run: 01, Epoch: 05, Train Loss: 1.1812, Valid Loss:  1.3056, Test Loss:  1.3202,  Train Acc: 33.33%, Valid Acc: 19.60%, Test Acc: 18.00%
Run: 01, Epoch: 06, Train Loss: 1.2517, Valid Loss:  1.4027, Test Loss:  1.4243,  Train Acc: 33.33%, Valid Acc: 19.60%, Test Acc: 18.00%
Run: 01, Epoch: 07, Train Loss: 1.2400, Valid Loss:  1.3848, Test Loss:  1.4078,  Train Acc: 33.33%, Valid Acc: 19.60%, Test Acc: 18.00%
Run: 01, Epoch: 08, Train Loss: 1.2038, Valid Loss:  1.3303, Test Loss:  1.3522,  Train Acc: 33.33%, Valid Acc: 19.60%, Test Acc: 18.00%
Run: 01, Epoch: 09, Train Loss: 1.1829, Valid Loss:  1.2872, Test Loss:  1.3080,  Train Acc: 33.33%, Valid Acc: 19.60%, Test Acc: 18.00%
Run: 01, Epoch: 10, Train Loss: 1.1663, Valid Loss:  1.2433, Test Loss:  1.2606,  Train Acc: 33.33%, Valid Acc: 19.60%, Test Acc: 18.00%
Run: 01, Epoch: 11, Train Loss: 1.1436, Valid Loss:  1.1973, Test Loss:  1.2105,  Train Acc: 33.33%, Valid Acc: 19.60%, Test Acc: 18.00%
Run: 01, Epoch: 12, Train Loss: 1.1393, Valid Loss:  1.1816, Test Loss:  1.1930,  Train Acc: 33.33%, Valid Acc: 19.60%, Test Acc: 18.00%
Run: 01, Epoch: 13, Train Loss: 1.1322, Valid Loss:  1.1698, Test Loss:  1.1802,  Train Acc: 33.33%, Valid Acc: 19.60%, Test Acc: 18.00%
Run: 01, Epoch: 14, Train Loss: 1.1225, Valid Loss:  1.1547, Test Loss:  1.1635,  Train Acc: 33.33%, Valid Acc: 19.60%, Test Acc: 18.00%
Run: 01, Epoch: 15, Train Loss: 1.1120, Valid Loss:  1.1402, Test Loss:  1.1480,  Train Acc: 36.67%, Valid Acc: 23.40%, Test Acc: 21.40%
Run: 01, Epoch: 16, Train Loss: 1.1041, Valid Loss:  1.1352, Test Loss:  1.1431,  Train Acc: 38.33%, Valid Acc: 26.60%, Test Acc: 23.80%
Run: 01, Epoch: 17, Train Loss: 1.1049, Valid Loss:  1.1476, Test Loss:  1.1569,  Train Acc: 33.33%, Valid Acc: 19.60%, Test Acc: 18.00%
Run: 01, Epoch: 18, Train Loss: 1.1016, Valid Loss:  1.1538, Test Loss:  1.1627,  Train Acc: 33.33%, Valid Acc: 19.60%, Test Acc: 18.00%
Run: 01, Epoch: 19, Train Loss: 1.1000, Valid Loss:  1.1589, Test Loss:  1.1674,  Train Acc: 33.33%, Valid Acc: 19.60%, Test Acc: 18.00%
Run: 01, Epoch: 20, Train Loss: 1.0891, Valid Loss:  1.1441, Test Loss:  1.1507,  Train Acc: 33.33%, Valid Acc: 19.60%, Test Acc: 18.00%
