Arguments:
  JK: False
  cfg: configs/pubmed/virtual_gcn.yaml
  cluster_method: metis
  dataset: Pubmed
  device: 0
  dropout: 0.5
  epochs: 300
  experiment_name: None
  hidden_channels: 16
  log_steps: 1
  lr: 0.01
  mode: max
  model: gcn
  num_layers: 2
  num_parts: 2
  runs: 5
  sparse_ratio: 1.0
  use_bn: 0
  use_virtual: True
  wandb: False
  wd: 0.0005
loading cluster edges from: cluster_data/Pubmed_cluster_adj_2.pt
cluster edges: 4, total cluster edges:2
Model modules:
 VNGNN(
  (convs): ModuleList(
    (0): GCNConv(500, 16)
    (1): GCNConv(16, 3)
  )
  (bns): ModuleList(
    (0): BatchNorm1d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (vns): VirtualNode(
    (vn_emb): Embedding(2, 500)
    (mlp_vns): ModuleList(
      (0): Sequential(
        (0): Linear(in_features=500, out_features=16, bias=True)
        (1): LayerNorm((16,), eps=1e-05, elementwise_affine=True)
        (2): ReLU()
      )
    )
    (convs): ModuleList(
      (0): GCNConv(500, 500)
      (1): GCNConv(16, 16)
    )
    (bns): ModuleList()
  )
)
Parameters:
+------------------------+------------+
|        Modules         | Parameters |
+------------------------+------------+
|      convs.0.bias      |     16     |
|   convs.0.lin.weight   |    8000    |
|      convs.1.bias      |     3      |
|   convs.1.lin.weight   |     48     |
|      bns.0.weight      |     16     |
|       bns.0.bias       |     16     |
|   vns.vn_emb.weight    |    1000    |
| vns.mlp_vns.0.0.weight |    8000    |
|  vns.mlp_vns.0.0.bias  |     16     |
| vns.mlp_vns.0.1.weight |     16     |
|  vns.mlp_vns.0.1.bias  |     16     |
|    vns.convs.0.bias    |    500     |
| vns.convs.0.lin.weight |   250000   |
|    vns.convs.1.bias    |     16     |
| vns.convs.1.lin.weight |    256     |
+------------------------+------------+
Total Trainable Params: 267919

Start Training...
Run: 01, Epoch: 01, Train Loss: 1.2207, Valid Loss:  1.0615, Test Loss:  1.0565,  Train Acc: 33.33%, Valid Acc: 41.60%, Test Acc: 40.70%
Run: 01, Epoch: 02, Train Loss: 1.2278, Valid Loss:  1.0928, Test Loss:  1.0848,  Train Acc: 33.33%, Valid Acc: 38.80%, Test Acc: 41.30%
Run: 01, Epoch: 03, Train Loss: 1.1470, Valid Loss:  1.0755, Test Loss:  1.0744,  Train Acc: 33.33%, Valid Acc: 38.80%, Test Acc: 41.30%
Run: 01, Epoch: 04, Train Loss: 1.0930, Valid Loss:  1.0765, Test Loss:  1.0825,  Train Acc: 33.33%, Valid Acc: 38.80%, Test Acc: 41.30%
Run: 01, Epoch: 05, Train Loss: 1.0616, Valid Loss:  1.0937, Test Loss:  1.1079,  Train Acc: 50.00%, Valid Acc: 50.00%, Test Acc: 48.70%
Run: 01, Epoch: 06, Train Loss: 1.0435, Valid Loss:  1.0857, Test Loss:  1.1082,  Train Acc: 50.00%, Valid Acc: 48.00%, Test Acc: 47.50%
Run: 01, Epoch: 07, Train Loss: 1.0158, Valid Loss:  1.0436, Test Loss:  1.0734,  Train Acc: 46.67%, Valid Acc: 49.00%, Test Acc: 48.00%
Run: 01, Epoch: 08, Train Loss: 0.9828, Valid Loss:  0.9670, Test Loss:  1.0002,  Train Acc: 50.00%, Valid Acc: 50.00%, Test Acc: 48.50%
Run: 01, Epoch: 09, Train Loss: 0.9741, Valid Loss:  0.9219, Test Loss:  0.9601,  Train Acc: 50.00%, Valid Acc: 49.80%, Test Acc: 48.60%
Run: 01, Epoch: 10, Train Loss: 0.9807, Valid Loss:  0.8894, Test Loss:  0.9314,  Train Acc: 50.00%, Valid Acc: 50.60%, Test Acc: 48.90%
Run: 01, Epoch: 11, Train Loss: 0.9846, Valid Loss:  0.8734, Test Loss:  0.9188,  Train Acc: 50.00%, Valid Acc: 51.20%, Test Acc: 49.40%
Run: 01, Epoch: 12, Train Loss: 0.9860, Valid Loss:  0.8650, Test Loss:  0.9121,  Train Acc: 50.00%, Valid Acc: 53.80%, Test Acc: 53.00%
Run: 01, Epoch: 13, Train Loss: 0.9761, Valid Loss:  0.8669, Test Loss:  0.9148,  Train Acc: 58.33%, Valid Acc: 59.40%, Test Acc: 57.90%
Run: 01, Epoch: 14, Train Loss: 0.9670, Valid Loss:  0.8775, Test Loss:  0.9268,  Train Acc: 50.00%, Valid Acc: 53.20%, Test Acc: 51.90%
